Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C8",CP_Radial_D5.0mm_P2.00mm,2,10uf,
C2,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,50nf,
"C3, C4",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,1uf,
C6,CP_Radial_D8.0mm_P3.50mm,1,250uf,
C7,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,500pf,
C9,CP_Radial_D5.0mm_P2.00mm,1,100uf,
D1,LED_D5.0mm,1,LED,
IC1,ABX00023,1,ABX00023,
"J1, J2, J3, J4",PinSocket_1x02_P2.54mm_Vertical,4,Conn_01x02,
LS1,Buzzer_D14mm_H7mm_P10mm,1,Speaker,
Q1,TO-92_Inline,1,2N3904,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10,
R2,Potentiometer_TT_P0915N,1,10k,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,2.2k,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,
"R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,4.7k,
U1,DIP-8_W7.62mm,1,LM386,
U2,PinSocket_1x05_P2.54mm_Horizontal,1,~,
